SMA,year,emp
"Anchorage, AK",1993,40067.3618884399
"Anchorage, AK",1994,42183.76704706102
"Anchorage, AK",1995,42477.63933317646
"Anchorage, AK",1996,44819.42400743993
"Anchorage, AK",1997,42458.841447834355
"Anchorage, AK",1998,106326.00030818582
"Anchorage, AK",1999,107070.00031274557
"Anchorage, AK",2000,112081.00031745434
"Anchorage, AK",2001,118840.00033606589
"Anchorage, AK",2002,116356.00028310716
"Anchorage, AK",2003,119270.0
"Anchorage, AK",2004,122664.0000000894
"Anchorage, AK",2005,129612.00000014901
"Anchorage, AK",2006,136867.0000001341
"Anchorage, AK",2007,138124.0
"Anchorage, AK",2008,140927.0
"Anchorage, AK",2009,144586.0
"Anchorage, AK",2010,144969.0
"Anchorage, AK",2011,144070.0
"Anchorage, AK",2012,145785.0
"Anchorage, AK",2013,152310.0
"Anchorage, AK",2014,147529.0
"Anchorage, AK",2015,148398.0
"Anchorage, AK",2016,147257.0
"Anchorage, AK",2017,136253.0
"Anchorage, AK",2018,137714.0
"Anniston, AL",1975,13169.638690410691
"Anniston, AL",1976,14165.958022601986
"Anniston, AL",1977,14809.498605136838
"Anniston, AL",1978,16247.40154210821
"Anniston, AL",1979,15981.571488884496
"Anniston, AL",1980,15826.22115516855
"Anniston, AL",1981,15606.315511450093
"Anniston, AL",1982,14665.054593558843
"Anniston, AL",1983,14862.321338882732
"Anniston, AL",1984,15885.847779812198
"Anniston, AL",1985,16235.445269264748
"Anniston, AL",1986,15939.831807922597
"Anniston, AL",1987,16372.261605953423
"Anniston, AL",1988,16421.449807126814
"Anniston, AL",1989,18502.501037587317
"Anniston, AL",1990,18196.121584373956
"Anniston, AL",1991,17750.5026127081
"Anniston, AL",1992,18322.18400931128
"Anniston, AL",1993,19585.725489962497
"Anniston, AL",1994,19486.859001537603
"Anniston, AL",1995,19804.902525786398
"Anniston, AL",1996,19377.30249992632
"Anniston, AL",1997,20655.66142984593
"Anniston, AL",1998,39337.00007246435
"Anniston, AL",1999,39638.000071555376
"Anniston, AL",2000,39795.00007084012
"Anniston, AL",2001,38969.00006656349
"Anniston, AL",2002,37903.000060632825
"Anniston, AL",2003,41458.000001847744
"Anniston, AL",2004,41559.00000064075
"Anniston, AL",2005,41979.00000357628
"Anniston, AL",2006,41984.00000242889
"Anniston, AL",2007,40842.0000025928
"Anniston, AL",2008,41346.0
"Anniston, AL",2009,38245.0
"Anniston, AL",2010,36875.0
"Anniston, AL",2011,36006.00000014901
"Anniston, AL",2012,34605.0
"Anniston, AL",2013,34794.0
"Anniston, AL",2014,35020.0
"Anniston, AL",2015,35849.0
"Anniston, AL",2016,35781.0
"Anniston, AL",2017,26774.0
"Anniston, AL",2018,29634.0
"Appleton-Oshkosh-Neenah, WI",1975,52301.781154934324
"Appleton-Oshkosh-Neenah, WI",1976,52892.95308664183
"Appleton-Oshkosh-Neenah, WI",1977,55580.96590013092
"Appleton-Oshkosh-Neenah, WI",1978,59519.680198588816
"Appleton-Oshkosh-Neenah, WI",1979,64009.98751756726
"Appleton-Oshkosh-Neenah, WI",1980,62544.65039506343
"Appleton-Oshkosh-Neenah, WI",1981,58889.25183703464
"Appleton-Oshkosh-Neenah, WI",1982,61323.61219392618
"Appleton-Oshkosh-Neenah, WI",1983,59758.63506817676
"Appleton-Oshkosh-Neenah, WI",1984,61770.49183655259
"Appleton-Oshkosh-Neenah, WI",1985,63379.05201664542
"Appleton-Oshkosh-Neenah, WI",1986,62765.834268509294
"Appleton-Oshkosh-Neenah, WI",1987,66122.02317550348
"Appleton-Oshkosh-Neenah, WI",1988,74950.76663505918
"Appleton-Oshkosh-Neenah, WI",1989,76329.29565901606
"Appleton-Oshkosh-Neenah, WI",1990,80706.51280743445
"Appleton-Oshkosh-Neenah, WI",1991,80075.42933894465
"Appleton-Oshkosh-Neenah, WI",1992,81872.26774924705
"Appleton-Oshkosh-Neenah, WI",1993,85849.88175904861
"Appleton-Oshkosh-Neenah, WI",1994,86962.58719892008
"Appleton-Oshkosh-Neenah, WI",1995,90580.9132436653
"Appleton-Oshkosh-Neenah, WI",1996,93465.91074782092
"Appleton-Oshkosh-Neenah, WI",1997,98802.22020821954
"Appleton-Oshkosh-Neenah, WI",1998,179792.00035211444
"Appleton-Oshkosh-Neenah, WI",1999,184815.00039309263
"Appleton-Oshkosh-Neenah, WI",2000,190081.00039848685
"Appleton-Oshkosh-Neenah, WI",2001,188245.00041526556
"Appleton-Oshkosh-Neenah, WI",2002,182042.00039182603
"Appleton-Oshkosh-Neenah, WI",2003,188938.00000061095
"Appleton-Oshkosh-Neenah, WI",2004,195018.00000059605
"Appleton-Oshkosh-Neenah, WI",2005,195386.00000029802
"Appleton-Oshkosh-Neenah, WI",2006,192245.00000041723
"Appleton-Oshkosh-Neenah, WI",2007,193528.0
"Appleton-Oshkosh-Neenah, WI",2008,198586.0
"Appleton-Oshkosh-Neenah, WI",2009,187032.0
"Appleton-Oshkosh-Neenah, WI",2010,185057.0
"Appleton-Oshkosh-Neenah, WI",2011,190243.0
"Appleton-Oshkosh-Neenah, WI",2012,190355.0
"Appleton-Oshkosh-Neenah, WI",2013,191911.0
"Appleton-Oshkosh-Neenah, WI",2014,192315.0
"Appleton-Oshkosh-Neenah, WI",2015,195192.0
"Appleton-Oshkosh-Neenah, WI",2016,200343.0
"Appleton-Oshkosh-Neenah, WI",2017,159094.0
"Appleton-Oshkosh-Neenah, WI",2018,167187.0
"Asheville, NC",1975,26805.9840815576
"Asheville, NC",1976,26002.238821952757
"Asheville, NC",1977,28173.649259269965
"Asheville, NC",1978,31917.72803461473
"Asheville, NC",1979,32173.839833487276
"Asheville, NC",1980,33050.13949391573
"Asheville, NC",1981,31858.291418029818
"Asheville, NC",1982,31614.665350500745
"Asheville, NC",1983,31734.345651539687
"Asheville, NC",1984,33317.607100961206
"Asheville, NC",1985,33745.32151249871
"Asheville, NC",1986,31878.27741261643
"Asheville, NC",1987,32415.31722975426
"Asheville, NC",1988,35606.563450246394
"Asheville, NC",1989,37109.91939422047
"Asheville, NC",1990,37954.78703127428
"Asheville, NC",1991,37345.18344166303
"Asheville, NC",1992,37564.977621226295
"Asheville, NC",1993,41892.00451945139
"Asheville, NC",1994,43258.53277247613
"Asheville, NC",1995,42353.78587651629
"Asheville, NC",1996,42348.126929046855
"Asheville, NC",1997,44575.68505718324
"Asheville, NC",1998,95054.00021219254
"Asheville, NC",1999,97685.00020508468
"Asheville, NC",2000,101445.00019325316
"Asheville, NC",2001,99435.00017786026
"Asheville, NC",2002,96669.00016877055
"Asheville, NC",2003,100909.00000201166
"Asheville, NC",2004,100764.00000113249
"Asheville, NC",2005,103109.00000274181
"Asheville, NC",2006,105226.00000277162
"Asheville, NC",2007,106626.0000025481
"Asheville, NC",2008,109063.00000043213
"Asheville, NC",2009,101815.0
"Asheville, NC",2010,98450.00000028312
"Asheville, NC",2011,100501.00000013411
"Asheville, NC",2012,101246.0
"Asheville, NC",2013,104020.0
"Asheville, NC",2014,110761.0
"Asheville, NC",2015,113116.0
"Asheville, NC",2016,119297.0
"Asheville, NC",2017,101179.0
"Asheville, NC",2018,105239.0
"Athens, GA",1975,14054.160604235241
"Athens, GA",1976,14562.935784126303
"Athens, GA",1977,15434.923358070067
"Athens, GA",1978,16764.550020631606
"Athens, GA",1979,17773.781558448274
"Athens, GA",1980,17523.40593930566
"Athens, GA",1981,17766.085943192207
"Athens, GA",1982,17929.045795180467
"Athens, GA",1983,17437.015005933205
"Athens, GA",1984,18301.781539987598
"Athens, GA",1985,20022.311017448144
"Athens, GA",1986,20969.803599784962
"Athens, GA",1987,22109.853185029457
"Athens, GA",1988,22283.90690788227
"Athens, GA",1989,22868.861899550877
"Athens, GA",1990,21734.495852959168
"Athens, GA",1991,21931.65100462596
"Athens, GA",1992,21944.869107090668
"Athens, GA",1993,22560.35467438254
"Athens, GA",1994,23327.728675592392
"Athens, GA",1995,25441.330272542902
"Athens, GA",1996,25174.239435783682
"Athens, GA",1997,26207.746019693597
"Athens, GA",1998,50960.0000988245
"Athens, GA",1999,52523.0001052171
"Athens, GA",2000,53179.00010742247
"Athens, GA",2001,53920.00010935962
"Athens, GA",2002,53511.00010420382
"Athens, GA",2003,54587.00000013411
"Athens, GA",2004,55918.0
"Athens, GA",2005,55637.0
"Athens, GA",2006,56483.0
"Athens, GA",2007,57551.00000029802
"Athens, GA",2008,56196.0
"Athens, GA",2009,54302.0
"Athens, GA",2010,52477.0
"Athens, GA",2011,53367.0
"Athens, GA",2012,53864.0
"Athens, GA",2013,55948.0
"Athens, GA",2014,57303.0
"Athens, GA",2015,58556.0
"Athens, GA",2016,61492.0
"Athens, GA",2017,43936.0
"Athens, GA",2018,46515.0
"Atlanta, GA",1975,346511.3372199018
"Atlanta, GA",1976,368021.91758544254
"Atlanta, GA",1977,389263.4223223778
"Atlanta, GA",1978,420331.3588223545
"Atlanta, GA",1979,444748.419801249
"Atlanta, GA",1980,455400.0121104596
"Atlanta, GA",1981,466957.74519475026
"Atlanta, GA",1982,479755.1967706948
"Atlanta, GA",1983,494047.1468590445
"Atlanta, GA",1984,542896.5068720293
"Atlanta, GA",1985,590103.8685367159
"Atlanta, GA",1986,589576.6794523844
"Atlanta, GA",1987,625805.1312483056
"Atlanta, GA",1988,686682.8417498373
"Atlanta, GA",1989,714643.5092258607
"Atlanta, GA",1990,719567.180289565
"Atlanta, GA",1991,700247.805069606
"Atlanta, GA",1992,730798.5995080904
"Atlanta, GA",1993,789112.2196338414
"Atlanta, GA",1994,824223.8947239991
"Atlanta, GA",1995,872706.2930544574
"Atlanta, GA",1996,922728.1899251966
"Atlanta, GA",1997,976886.8190104259
"Atlanta, GA",1998,1855913.0056083351
"Atlanta, GA",1999,1981479.0058526844
"Atlanta, GA",2000,2069178.0059443861
"Atlanta, GA",2001,2092744.0059144944
"Atlanta, GA",2002,2008518.0056504607
"Atlanta, GA",2003,2023131.0000347793
"Atlanta, GA",2004,2066331.0000285655
"Atlanta, GA",2005,2099789.000020981
"Atlanta, GA",2006,2174129.0000198483
"Atlanta, GA",2007,2185439.0000136048
"Atlanta, GA",2008,2189119.0
"Atlanta, GA",2009,2046361.0000000447
"Atlanta, GA",2010,1977529.000000164
"Atlanta, GA",2011,1978115.000000298
"Atlanta, GA",2012,2034615.0
"Atlanta, GA",2013,2086701.0
"Atlanta, GA",2014,2146122.0
"Atlanta, GA",2015,2208674.0
"Atlanta, GA",2016,2276276.0
"Atlanta, GA",2017,2090412.0
"Atlanta, GA",2018,2210913.0
"Augusta-Aiken, GA-SC",1975,41027.45689869576
"Augusta-Aiken, GA-SC",1976,44788.53208917753
"Augusta-Aiken, GA-SC",1977,47671.91141583183
"Augusta-Aiken, GA-SC",1978,52064.6864549969
"Augusta-Aiken, GA-SC",1979,53221.89786044038
"Augusta-Aiken, GA-SC",1980,52657.79514848525
"Augusta-Aiken, GA-SC",1981,53810.80999205972
"Augusta-Aiken, GA-SC",1982,51838.22046825368
"Augusta-Aiken, GA-SC",1983,54491.13190320415
"Augusta-Aiken, GA-SC",1984,58911.54709857047
"Augusta-Aiken, GA-SC",1985,63492.84677358155
"Augusta-Aiken, GA-SC",1986,63874.65699741604
"Augusta-Aiken, GA-SC",1987,68313.58849146501
"Augusta-Aiken, GA-SC",1988,69782.27595765534
"Augusta-Aiken, GA-SC",1989,71005.28688323557
"Augusta-Aiken, GA-SC",1990,77361.07670031814
"Augusta-Aiken, GA-SC",1991,81428.91731311457
"Augusta-Aiken, GA-SC",1992,81290.59250446927
